Date,NVDA,BTC,ETC,TSLA,AMZN
6/29/2020,368,9182.577148,207.169189,201.869995,2680.379883
6/30/2020,379.910004,9209.287109,208.694397,215.962006,2758.820068
7/1/2020,381.200012,8790.368164,202.370346,223.925995,2878.699951
7/2/2020,384.48999,8906.93457,205.319748,241.731995,2890.300049
7/6/2020,393.570007,8835.052734,201.902313,274.31601,3057.040039
7/7/2020,394.869995,9181.017578,208.863434,277.971985,3000.120117
7/8/2020,408.640015,9525.750977,219.840424,273.175995,3081.110107
7/9/2020,420.359985,9439.124023,220.675125,278.855988,3182.629883
7/10/2020,419.170013,9700.414063,242.345596,308.929993,3200
7/13/2020,402.089996,9461.058594,230.975708,299.411987,3104
7/14/2020,415.079987,10167.26856,246.99176,303.359985,3084
7/15/2020,409.089996,9529.803711,237.219055,309.201996,3008.870117
7/16/2020,405.390015,9656.717773,244.179321,300.127991,2999.899902
7/17/2020,408.059998,9800.636719,244.426392,300.167999,2961.969971
7/20/2020,420.429993,9665.533203,241.221985,328.600006,3196.840088
7/21/2020,413.140015,9653.679688,241.93132,313.671997,3138.290039
7/22/2020,417.549988,9758.852539,245.167252,318.466003,3099.909912
7/23/2020,405.190002,9771.489258,246.309906,302.614014,2986.550049
7/24/2020,407.779999,9795.700195,244.911453,283.399994,3008.909912
7/27/2020,416.859985,9870.094727,247.444946,307.920013,3055.209961
7/28/2020,408.619995,9321.78125,231.702667,295.298004,3000.330078
7/29/2020,418.619995,9480.84375,237.49321,299.821991,3033.530029
7/30/2020,424.559998,9475.277344,238.908844,297.497986,3051.879883
7/31/2020,424.589996,9386.788086,234.1147,286.152008,3164.679932
8/3/2020,440.410004,9450.702148,229.928909,297,3111.889893
8/4/2020,449.109985,9538.024414,234.416168,297.399994,3138.830078
8/5/2020,451.470001,9480.254883,233.028275,297.003998,3205.030029
8/6/2020,453.420013,9411.84082,232.101166,297.915985,3225
8/7/2020,447.980011,9288.018555,227.13829,290.541992,3167.459961
8/10/2020,446.600006,9332.34082,229.274261,283.713989,3148.159912
8/11/2020,434,9303.629883,228.989822,274.877991,3080.669922
8/12/2020,457.609985,9648.717773,242.533188,310.951996,3162.23999
8/13/2020,457.720001,9629.658203,244.142151,324.200012,3161.02002
8/14/2020,462.559998,9313.610352,235.772461,330.141998,3148.02002
8/17/2020,493.480011,9264.813477,232.944489,367.127991,3182.409912
8/18/2020,490.429993,9162.917969,229.668045,377.417999,3312.48999
8/19/2020,485.540009,9045.390625,222.959793,375.705994,3260.47998
8/20/2020,485.640015,9143.582031,225.347168,400.365997,3297.370117
8/21/2020,507.339996,9190.854492,228.19487,409.996002,3284.719971
8/24/2020,508.809998,9137.993164,226.315002,402.839996,3307.459961
8/25/2020,510,9228.325195,231.113419,404.667999,3346.48999
8/26/2020,510.920013,9123.410156,229.392197,430.634003,3441.850098
8/27/2020,505.130005,9087.303711,225.38707,447.75,3400
8/28/2020,525.909973,9132.488281,229.074112,442.679993,3401.800049
8/31/2020,534.97998,9073.942383,227.664597,498.320007,3450.959961
9/1/2020,552.840027,9375.474609,241.510223,475.049988,3499.120117
9/2/2020,573.859985,9252.277344,239.075531,447.369995,3531.449951
9/3/2020,520.619995,9428.333008,246.670013,407,3368
9/4/2020,504.899994,9277.967773,243.015961,418.320007,3294.620117
9/8/2020,476.519989,9278.807617,240.984985,330.209991,3149.840088
9/9/2020,508.600006,9240.34668,239.458176,366.279999,3268.610107
9/10/2020,492.470001,9276.5,242.131699,371.339996,3175.110107
9/11/2020,486.579987,9243.614258,239.604584,372.720001,3116.219971
9/14/2020,514.890015,9243.213867,240.211487,419.619995,3102.969971
9/15/2020,519.640015,9192.836914,238.423523,449.76001,3156.129883
9/16/2020,500.579987,9132.227539,233.640884,441.76001,3078.100098
9/17/2020,498.540009,9151.392578,232.773087,423.429993,3008.72998
9/18/2020,487.570007,9159.040039,235.48381,442.149994,2954.909912
9/21/2020,500.690002,9185.817383,238.487518,449.390015,2960.469971
9/22/2020,505.51001,9164.231445,236.153168,424.230011,3128.98999
9/23/2020,484.950012,9374.887695,245.016724,380.359985,2999.860107
9/24/2020,493.920013,9525.363281,262.190643,387.790009,3019.790039
9/25/2020,514.950012,9581.072266,274.689056,407.339996,3095.129883
9/28/2020,521.400024,9536.892578,279.215424,421.200012,3174.050049
9/29/2020,529.030029,9677.113281,304.056763,419.070007,3144.879883
9/30/2020,541.219971,9905.166992,309.643616,429.01001,3148.72998
10/1/2020,544.580017,10990.87305,321.514099,448.160004,3221.26001
10/2/2020,522.48999,10912.82324,316.657257,415.089996,3125
10/5/2020,545.700012,11100.46777,318.190887,425.679993,3199.199951
10/6/2020,549.460022,11111.21387,334.586639,413.980011,3099.959961
